row,reason,sku	productName	warehouseName	categoryName	quantity	unit	purchasePrice	sellingPrice	description
1,Missing SKU,Baby1	Car1	warehouse1	category1	1	pcs	555	666	description1
2,Missing SKU,Baby2	Car2	warehouse2	category2	2	pcs	666	777	description2
3,Missing SKU,Baby3	Car3	warehouse3	category3	3	pcs	777	888	description3
4,Missing SKU,Baby4	Car4	warehouse4	category4	4	pcs	888	999	description4
5,Missing SKU,Baby5	Car5	warehouse5	category5	5	pcs	999	1110	description5
6,Missing SKU,Baby6	Car6	warehouse6	category6	6	pcs	1110	1221	description6
7,Missing SKU,Baby7	Car7	warehouse7	category7	7	pcs	1221	1332	description7
8,Missing SKU,Baby8	Car8	warehouse8	category8	8	pcs	1332	1443	description8
9,Missing SKU,Baby9	Car9	warehouse9	category9	9	pcs	1443	1554	description9
10,Missing SKU,Baby10	Car10	warehouse10	category10	10	pcs	1554	1665	description10
11,Missing SKU,Baby11	Car11	warehouse11	category11	11	pcs	1665	1776	description11
12,Missing SKU,Baby12	Car12	warehouse12	category12	12	pcs	1776	1887	description12
13,Missing SKU,Baby13	Car13	warehouse13	category13	13	pcs	1887	1998	description13
14,Missing SKU,Baby14	Car14	warehouse14	category14	14	pcs	1998	2109	description14
15,Missing SKU,Baby15	Car15	warehouse15	category15	15	pcs	2109	2220	description15
16,Missing SKU,Baby16	Car16	warehouse16	category16	16	pcs	2220	2331	description16
17,Missing SKU,Baby17	Car17	warehouse17	category17	17	pcs	2331	2442	description17
18,Missing SKU,Baby18	Car18	warehouse18	category18	18	pcs	2442	2553	description18
19,Missing SKU,Baby19	Car19	warehouse19	category19	19	pcs	2553	2664	description19
20,Missing SKU,Baby20	Car20	warehouse20	category20	20	pcs	2664	2775	description20
21,Missing SKU,Baby21	Car21	warehouse21	category21	21	pcs	2775	2886	description21
22,Missing SKU,Baby22	Car22	warehouse22	category22	22	pcs	2886	2997	description22
23,Missing SKU,Baby23	Car23	warehouse23	category23	23	pcs	2997	3108	description23
24,Missing SKU,Baby24	Car24	warehouse24	category24	24	pcs	3108	3219	description24
25,Missing SKU,Baby25	Car25	warehouse25	category25	25	pcs	3219	3330	description25
26,Missing SKU,Baby26	Car26	warehouse26	category26	26	pcs	3330	3441	description26
27,Missing SKU,Baby27	Car27	warehouse27	category27	27	pcs	3441	3552	description27
28,Missing SKU,Baby28	Car28	warehouse28	category28	28	pcs	3552	3663	description28
29,Missing SKU,Baby29	Car29	warehouse29	category29	29	pcs	3663	3774	description29
30,Missing SKU,Baby30	Car30	warehouse30	category30	30	pcs	3774	3885	description30
31,Missing SKU,Baby31	Car31	warehouse31	category31	31	pcs	3885	3996	description31
32,Missing SKU,Baby32	Car32	warehouse32	category32	32	pcs	3996	4107	description32
33,Missing SKU,Baby33	Car33	warehouse33	category33	33	pcs	4107	4218	description33
34,Missing SKU,Baby34	Car34	warehouse34	category34	34	pcs	4218	4329	description34
35,Missing SKU,Baby35	Car35	warehouse35	category35	35	pcs	4329	4440	description35
36,Missing SKU,Baby36	Car36	warehouse36	category36	36	pcs	4440	4551	description36
37,Missing SKU,Baby37	Car37	warehouse37	category37	37	pcs	4551	4662	description37
38,Missing SKU,Baby38	Car38	warehouse38	category38	38	pcs	4662	4773	description38
39,Missing SKU,Baby39	Car39	warehouse39	category39	39	pcs	4773	4884	description39
40,Missing SKU,Baby40	Car40	warehouse40	category40	40	pcs	4884	4995	description40
41,Missing SKU,Baby41	Car41	warehouse41	category41	41	pcs	4995	5106	description41
42,Missing SKU,Baby42	Car42	warehouse42	category42	42	pcs	5106	5217	description42
43,Missing SKU,Baby43	Car43	warehouse43	category43	43	pcs	5217	5328	description43
44,Missing SKU,Baby44	Car44	warehouse44	category44	44	pcs	5328	5439	description44
45,Missing SKU,Baby45	Car45	warehouse45	category45	45	pcs	5439	5550	description45
46,Missing SKU,Baby46	Car46	warehouse46	category46	46	pcs	5550	5661	description46
47,Missing SKU,Baby47	Car47	warehouse47	category47	47	pcs	5661	5772	description47
48,Missing SKU,Baby48	Car48	warehouse48	category48	48	pcs	5772	5883	description48
49,Missing SKU,Baby49	Car49	warehouse49	category49	49	pcs	5883	5994	description49
50,Missing SKU,Baby50	Car50	warehouse50	category50	50	pcs	5994	6105	description50
51,Missing SKU,Baby51	Car51	warehouse51	category51	51	pcs	6105	6216	description51
52,Missing SKU,Baby52	Car52	warehouse52	category52	52	pcs	6216	6327	description52
53,Missing SKU,Baby53	Car53	warehouse53	category53	53	pcs	6327	6438	description53
54,Missing SKU,Baby54	Car54	warehouse54	category54	54	pcs	6438	6549	description54
55,Missing SKU,Baby55	Car55	warehouse55	category55	55	pcs	6549	6660	description55
56,Missing SKU,Baby56	Car56	warehouse56	category56	56	pcs	6660	6771	description56
57,Missing SKU,Baby57	Car57	warehouse57	category57	57	pcs	6771	6882	description57
58,Missing SKU,Baby58	Car58	warehouse58	category58	58	pcs	6882	6993	description58
59,Missing SKU,Baby59	Car59	warehouse59	category59	59	pcs	6993	7104	description59
60,Missing SKU,Baby60	Car60	warehouse60	category60	60	pcs	7104	7215	description60
61,Missing SKU,Baby61	Car61	warehouse61	category61	61	pcs	7215	7326	description61
62,Missing SKU,Baby62	Car62	warehouse62	category62	62	pcs	7326	7437	description62
63,Missing SKU,Baby63	Car63	warehouse63	category63	63	pcs	7437	7548	description63
64,Missing SKU,Baby64	Car64	warehouse64	category64	64	pcs	7548	7659	description64
65,Missing SKU,Baby65	Car65	warehouse65	category65	65	pcs	7659	7770	description65
66,Missing SKU,Baby66	Car66	warehouse66	category66	66	pcs	7770	7881	description66
67,Missing SKU,Baby67	Car67	warehouse67	category67	67	pcs	7881	7992	description67
68,Missing SKU,Baby68	Car68	warehouse68	category68	68	pcs	7992	8103	description68
69,Missing SKU,Baby69	Car69	warehouse69	category69	69	pcs	8103	8214	description69
70,Missing SKU,Baby70	Car70	warehouse70	category70	70	pcs	8214	8325	description70
71,Missing SKU,Baby71	Car71	warehouse71	category71	71	pcs	8325	8436	description71
72,Missing SKU,Baby72	Car72	warehouse72	category72	72	pcs	8436	8547	description72
73,Missing SKU,Baby73	Car73	warehouse73	category73	73	pcs	8547	8658	description73
74,Missing SKU,Baby74	Car74	warehouse74	category74	74	pcs	8658	8769	description74
75,Missing SKU,Baby75	Car75	warehouse75	category75	75	pcs	8769	8880	description75
76,Missing SKU,Baby76	Car76	warehouse76	category76	76	pcs	8880	8991	description76
77,Missing SKU,Baby77	Car77	warehouse77	category77	77	pcs	8991	9102	description77
78,Missing SKU,Baby78	Car78	warehouse78	category78	78	pcs	9102	9213	description78
79,Missing SKU,Baby79	Car79	warehouse79	category79	79	pcs	9213	9324	description79
80,Missing SKU,Baby80	Car80	warehouse80	category80	80	pcs	9324	9435	description80
81,Missing SKU,Baby81	Car81	warehouse81	category81	81	pcs	9435	9546	description81
82,Missing SKU,Baby82	Car82	warehouse82	category82	82	pcs	9546	9657	description82
83,Missing SKU,Baby83	Car83	warehouse83	category83	83	pcs	9657	9768	description83
84,Missing SKU,Baby84	Car84	warehouse84	category84	84	pcs	9768	9879	description84
85,Missing SKU,Baby85	Car85	warehouse85	category85	85	pcs	9879	9990	description85
