row,reason,sku,productName,warehouseName,quantity,unit,purchasePrice,sellingPrice,categoryName,description
1,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU1"" }",sku1,Car1,warehouse1,1,pcs,555,666,category1,description1
2,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU2"" }",sku2,Car2,warehouse2,2,pcs,666,777,category2,description2
3,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU3"" }",sku3,Car3,warehouse3,3,pcs,777,888,category3,description3
4,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU4"" }",sku4,Car4,warehouse4,4,pcs,888,999,category4,description4
5,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU5"" }",sku5,Car5,warehouse5,5,pcs,999,1110,category5,description5
6,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU6"" }",sku6,Car6,warehouse6,6,pcs,1110,1221,category6,description6
7,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU7"" }",sku7,Car7,warehouse7,7,pcs,1221,1332,category7,description7
8,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU8"" }",sku8,Car8,warehouse8,8,pcs,1332,1443,category8,description8
9,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU9"" }",sku9,Car9,warehouse9,9,pcs,1443,1554,category9,description9
10,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU10"" }",sku10,Car10,warehouse10,10,pcs,1554,1665,category10,description10
11,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU11"" }",sku11,Car11,warehouse11,11,pcs,1665,1776,category11,description11
12,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU12"" }",sku12,Car12,warehouse12,12,pcs,1776,1887,category12,description12
13,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU13"" }",sku13,Car13,warehouse13,13,pcs,1887,1998,category13,description13
14,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU14"" }",sku14,Car14,warehouse14,14,pcs,1998,2109,category14,description14
15,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU15"" }",sku15,Car15,warehouse15,15,pcs,2109,2220,category15,description15
16,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU16"" }",sku16,Car16,warehouse16,16,pcs,2220,2331,category16,description16
17,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU17"" }",sku17,Car17,warehouse17,17,pcs,2331,2442,category17,description17
18,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU18"" }",sku18,Car18,warehouse18,18,pcs,2442,2553,category18,description18
19,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU19"" }",sku19,Car19,warehouse19,19,pcs,2553,2664,category19,description19
20,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU20"" }",sku20,Car20,warehouse20,20,pcs,2664,2775,category20,description20
21,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU21"" }",sku21,Car21,warehouse21,21,pcs,2775,2886,category21,description21
22,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU22"" }",sku22,Car22,warehouse22,22,pcs,2886,2997,category22,description22
23,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU23"" }",sku23,Car23,warehouse23,23,pcs,2997,3108,category23,description23
24,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU24"" }",sku24,Car24,warehouse24,24,pcs,3108,3219,category24,description24
25,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU25"" }",sku25,Car25,warehouse25,25,pcs,3219,3330,category25,description25
26,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU26"" }",sku26,Car26,warehouse26,26,pcs,3330,3441,category26,description26
27,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU27"" }",sku27,Car27,warehouse27,27,pcs,3441,3552,category27,description27
28,"E11000 duplicate key error collection: inventory_management.stocks index: sku_1 dup key: { sku: ""SKU28"" }",sku28,Car28,warehouse28,28,pcs,3552,3663,category28,description28
